파일명,OCR필요,PDF유형,신뢰도,전체페이지,텍스트페이지,이미지페이지,Producer,Producer유형,스캔점수,평균텍스트
28992_2024하합100155 자산(약정금채권) 매각공고.pdf,False,text,0.90,5,5,0,"Microsoft: Print To PDF",document_software,5,777
28744_2024하합100495 자산(대여금) 환가 포기 공고.pdf,False,text,0.90,2,2,0,"Hancom PDF 1.3.0.538",document_software,5,360
28896_2025하합332 자산 매각공고 및 환가 포기 공고(상표권).pdf,False,text,0.80,4,4,1,"Hancom PDF 1.3.0.538",document_software,5,818
28885_2024하합100481 부실채권 공개매각 공고.pdf,False,text,0.80,6,6,1,"Hancom PDF 1.3.0.547",document_software,5,796
28551_2024하합100301 채권매각 공고.pdf,False,text,0.90,7,7,0,"Hancom PDF 1.3.0.547",document_software,5,603
28804_의정부지방법원 2024하단21725 자동차매각공고.pdf,False,text,0.80,6,5,1,"",unknown,5,596
28542_인천지방법원 2023하합47 채권 매각 공고 등 신청서.pdf,True,scanned,0.90,5,0,5,"",unknown,95,0
28757_2025하합240 자산(상표권) 매각 및 포기공고.pdf,False,text,0.80,5,4,2,"Hancom PDF 1.3.0.547",document_software,5,640
28460_매각공고문 및 입찰서(우성테크).pdf,False,mixed,0.70,22,5,17,"알PDF",other,20,141
28829_전주지방법원 2023하합1002 채권매각 공고.pdf,False,text,0.90,3,3,0,"",unknown,5,875
28714_2025하합329 자산 매각(포기) 공고.pdf,False,text,0.90,9,9,0,"Hancom PDF 1.3.0.547",document_software,5,676
28593_2025하합272 자산포기안내서_매출채권.pdf,False,text,0.90,2,2,0,"Hancom PDF 1.3.0.542",document_software,5,584
28693_2025하합315 자산 매각공고 및 환가 포기 공고.pdf,False,text,0.80,6,6,1,"Hancom PDF 1.3.0.538",document_software,5,978
28994_2021하합100404 채권 매각 공고.pdf,False,text,0.80,6,5,2,"NesPDF",other,5,572
28710_23하단20715 병합.pdf,False,mixed,0.70,15,15,9,"",unknown,20,214
28786_김다영 채권 매각공고(정은숙,김순옥)-수정.pdf,False,text,0.90,8,8,0,"Hancom PDF 1.3.0.545",document_software,5,512
28723_2025하합178호 지식재산권 매각 및 포기공고.pdf,False,text,0.90,3,3,0,"ezPDF Builder Supreme",other,5,980
28785_2022하합100247 자산포기공고.pdf,False,text,0.90,2,2,0,"Hancom PDF 1.3.0.538",document_software,5,583
28787_박정례 2차 채권 매각공고[계약금반환].pdf,False,text,0.90,6,6,0,"Hancom PDF 1.3.0.545",document_software,5,566
28988_2024하합100554 자산(비상장주식)매각공고.pdf,False,text,0.80,6,6,1,"Microsoft: Print To PDF",document_software,5,610
28640_2024하합100190 해외법인 출자지분 매각 및 환가포기공고.pdf,False,text,0.90,5,5,0,"Hancom PDF 1.3.0.509",document_software,5,716
28724_2025하합196호 지식재산권 매각 및 포기공고.pdf,False,text,0.90,3,3,0,"ezPDF Builder Supreme",other,5,960
28722_24하합101207 채권 매각 및 포기 공고.pdf,False,text,0.80,7,6,2,"NesPDF",other,5,532
28317_울산지방법원 2023하단5020 채권매각공고문(1).pdf,True,scanned,0.90,5,0,5,"",unknown,95,0
